### Sink Coordinates by Module
### Format: <instance_name> : X = <x>, Y = <y>

### Module: IF_ID_Pipeline
===========================
IF_ID_Pipeline_IF_ID_RS_Hazard_reg[4] : X = {63.51, Y = 31.61}
IF_ID_Pipeline_IF_ID_RT_Hazard_reg[3] : X = {100.05, Y = 23.78}
IF_ID_Pipeline_IF_ID_RT_Hazard_reg[4] : X = {76.56, Y = 13.34}
IF_ID_Pipeline_IF_ID_Rd_reg[3] : X = {73.66, Y = 8.12}
IF_ID_Pipeline_Jump_Offset_reg[1] : X = {111.94, Y = 21.17}
IF_ID_Pipeline_Jump_Offset_reg[2] : X = {100.92, Y = 18.56}
IF_ID_Pipeline_Op_Code_reg[3] : X = {109.91, Y = 29.0}
IF_ID_Pipeline_PC_Out_reg[2] : X = {118.03, Y = 18.56}
IF_ID_Pipeline_PC_Out_reg[3] : X = {125.57, Y = 15.95}
IF_ID_Pipeline_PC_Out_reg[4] : X = {127.31, Y = 21.17}
IF_ID_Pipeline_PC_Out_reg[5] : X = {135.72, Y = 21.17}
IF_ID_Pipeline_PC_Out_reg[6] : X = {143.26, Y = 29.0}
IF_ID_Pipeline_PC_Out_reg[9] : X = {147.9, Y = 31.61}
IF_ID_Pipeline_PC_Out_reg[10] : X = {157.76, Y = 23.78}
IF_ID_Pipeline_PC_Out_reg[11] : X = {166.46, Y = 26.39}
IF_ID_Pipeline_PC_Out_reg[12] : X = {183.57, Y = 18.56}
IF_ID_Pipeline_PC_Out_reg[13] : X = {190.53, Y = 13.34}
IF_ID_Pipeline_PC_Out_reg[14] : X = {179.8, Y = 21.17}
IF_ID_Pipeline_PC_Out_reg[15] : X = {173.13, Y = 23.78}
IF_ID_Pipeline_PC_Out_reg[16] : X = {234.03, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[17] : X = {202.13, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[18] : X = {243.02, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[19] : X = {251.14, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[20] : X = {259.26, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[21] : X = {265.35, Y = 10.73}
IF_ID_Pipeline_PC_Out_reg[22] : X = {267.67, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[23] : X = {278.11, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[24] : X = {288.26, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[25] : X = {284.2, Y = 10.73}
IF_ID_Pipeline_PC_Out_reg[26] : X = {296.38, Y = 8.12}
IF_ID_Pipeline_PC_Out_reg[27] : X = {301.89, Y = 15.95}
IF_ID_Pipeline_PC_Out_reg[28] : X = {300.73, Y = 36.83}
IF_ID_Pipeline_PC_Out_reg[29] : X = {300.73, Y = 34.22}
IF_ID_Pipeline_PC_Out_reg[30] : X = {300.73, Y = 21.17}
IF_ID_Pipeline_PC_Out_reg[31] : X = {299.28, Y = 13.34}
IF_ID_Pipeline_IF_ID_RT_Hazard_reg[0] : X = {75.4, Y = 18.56}
IF_ID_Pipeline_PC_Out_reg[7] : X = {138.33, Y = 18.56}
IF_ID_Pipeline_PC_Out_reg[8] : X = {153.41, Y = 29.0}


### Module: ID_EX_Pipeline
===========================
ID_EX_Pipeline_ALUOp_Output_reg[1] : X = {115.13, Y = 39.44}
ID_EX_Pipeline_ID_EX_Rd_MUX_reg[3] : X = {76.56, Y = 10.73}
ID_EX_Pipeline_ID_EX_Rs_Forwarding_reg[4] : X = {60.9, Y = 44.66}
ID_EX_Pipeline_ID_EX_Rt_Forwarding_reg[0] : X = {106.72, Y = 42.05}
ID_EX_Pipeline_ID_EX_Rt_Forwarding_reg[3] : X = {98.31, Y = 26.39}
ID_EX_Pipeline_ID_EX_Rt_Forwarding_reg[4] : X = {75.4, Y = 42.05}
ID_EX_Pipeline_Read_Data_2_Output_reg[1] : X = {63.22, Y = 52.49}
ID_EX_Pipeline_Read_Data_2_Output_reg[2] : X = {28.42, Y = 149.06}
ID_EX_Pipeline_Read_Data_2_Output_reg[3] : X = {47.85, Y = 102.08}
ID_EX_Pipeline_Read_Data_2_Output_reg[4] : X = {47.27, Y = 130.79}
ID_EX_Pipeline_Read_Data_2_Output_reg[6] : X = {48.43, Y = 115.13}
ID_EX_Pipeline_Read_Data_2_Output_reg[9] : X = {26.1, Y = 91.64}
ID_EX_Pipeline_Read_Data_2_Output_reg[11] : X = {56.55, Y = 49.88}
ID_EX_Pipeline_Read_Data_2_Output_reg[12] : X = {37.99, Y = 10.73}
ID_EX_Pipeline_Read_Data_2_Output_reg[15] : X = {74.82, Y = 81.2}
ID_EX_Pipeline_Read_Data_2_Output_reg[16] : X = {53.94, Y = 23.78}
ID_EX_Pipeline_Read_Data_2_Output_reg[18] : X = {43.21, Y = 8.12}
ID_EX_Pipeline_Read_Data_2_Output_reg[20] : X = {43.79, Y = 133.4}
ID_EX_Pipeline_Read_Data_2_Output_reg[21] : X = {23.2, Y = 107.3}
ID_EX_Pipeline_Read_Data_2_Output_reg[25] : X = {29.0, Y = 128.18}
ID_EX_Pipeline_Sign_Extend_Output_reg[1] : X = {121.8, Y = 23.78}
ID_EX_Pipeline_Sign_Extend_Output_reg[2] : X = {121.51, Y = 26.39}
ID_EX_Pipeline_ALU_Src_Out_reg : X = {120.93, Y = 47.27}
ID_EX_Pipeline_Read_Data_2_Output_reg[22] : X = {22.91, Y = 89.03}
ID_EX_Pipeline_Read_Data_2_Output_reg[28] : X = {28.71, Y = 141.23}
ID_EX_Pipeline_Read_Data_2_Output_reg[31] : X = {25.81, Y = 109.91}
ID_EX_Pipeline_MemRead_Output_reg : X = {113.1, Y = 36.83}
ID_EX_Pipeline_Read_Data_2_Output_reg[14] : X = {78.01, Y = 70.76}
ID_EX_Pipeline_Read_Data_2_Output_reg[23] : X = {26.68, Y = 102.08}
ID_EX_Pipeline_Read_Data_2_Output_reg[26] : X = {27.26, Y = 125.57}
ID_EX_Pipeline_Read_Data_2_Output_reg[30] : X = {36.83, Y = 122.96}
ID_EX_Pipeline_Read_Data_2_Output_reg[27] : X = {28.42, Y = 120.35}
ID_EX_Pipeline_Read_Data_1_Output_reg[30] : X = {29.0, Y = 133.4}
ID_EX_Pipeline_Read_Data_1_Output_reg[11] : X = {64.67, Y = 55.1}
